,City,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
908,Porto Alegre, Brazil,54.54,13.87,34.52,45.96,41.83,41.31,2017
909,Harare, Zimbabwe,54.52,14.98,35.05,48.17,40.49,21.74,2017
910,Santo Domingo, Dominican Republic,54.17,12.95,33.88,47.65,49.69,22.44,2017
911,Bangkok, Thailand,54.15,24.69,39.64,63.28,25.35,39.66,2017
912,Porto, Portugal,53.77,18.14,36.23,46.12,42.47,58.5,2017
913,Vilnius, Lithuania,53.26,16.51,35.16,42.73,47.01,48.59,2017
914,Riga, Latvia,52.91,14.18,33.84,42.18,46.74,46.77,2017
915,Coimbra, Portugal,52.59,13.62,33.4,45.69,40.37,64.23,2017
916,Tartu, Estonia,52.4,14.43,33.71,41.83,49.1,66.49,2017
917,Bratislava, Slovakia,52.35,20.35,36.59,48.1,39.34,63.59,2017
918,Florianopolis, Brazil,52.18,14.42,33.59,41.98,42.34,34.58,2017
919,Ad Dammam, Saudi Arabia,52.16,12.37,32.57,46.92,32.72,124.08,2017
920,Phnom Penh, Cambodia,51.97,18.94,35.7,57.8,25.1,21.15,2017
921,Dar Es Salaam, Tanzania,51.94,25.33,38.84,38.81,34.51,16.12,2017
922,Jeddah (Jiddah), Saudi Arabia,51.93,15.47,33.98,43.53,32.99,98.53,2017
923,Addis Ababa, Ethiopia,51.69,22.52,37.33,46.34,23.65,13.03,2017
924,Belo Horizonte, Brazil,51.63,12.91,32.56,42.08,39.34,30.85,2017
925,Braga, Portugal,51.49,12.02,32.06,44.09,35.8,56.79,2017
926,Shenzhen, China,51.44,24.25,38.06,56.04,32.73,72.73,2017
927,Baghdad, Iraq,51.41,15.08,33.52,46.83,43.7,47.2,2017
928,Al Khobar, Saudi Arabia,51.36,15.12,33.51,47.22,33.67,135.53,2017
929,San Salvador, El Salvador,51.19,11.77,31.78,51.25,37.85,24.94,2017
930,Guayaquil, Ecuador,51.17,13.58,32.66,47.48,37.93,31.04,2017
931,Kaunas, Lithuania,51.08,10.52,31.11,41.34,44.05,47.89,2017
932,Prague, Czech Republic,50.87,22.19,36.75,45.88,36.59,67.23,2017
933,Curitiba, Brazil,50.86,12.16,31.81,40.9,41.68,43.74,2017
934,Moscow, Russia,50.74,32.41,41.72,40.37,54.24,51.46,2017
935,Kosice, Slovakia,50.6,15.11,33.13,46.73,30.46,51.54,2017
936,Riyadh, Saudi Arabia,50.38,16.94,33.92,44.23,34.94,113.64,2017
937,Las Palmas, Spain,50.18,16.93,33.81,44.24,49.45,72.51,2017
938,Pretoria, South Africa,49.89,15.06,32.74,43.49,43.4,90.54,2017
939,Quito, Ecuador,49.84,14.22,32.3,50.57,37.06,29.91,2017
940,Jakarta, Indonesia,49.44,21.74,35.8,55.49,27.68,35.1,2017
941,Petaling Jaya, Malaysia,48.72,12.07,30.67,59.09,22.34,56.2,2017
942,Budapest, Hungary,48.64,16.13,32.63,39.62,36.0,47.17,2017
943,Guatemala City, Guatemala,48.57,16.1,32.58,46.53,37.11,40.26,2017
944,Penang, Malaysia,48.13,10.15,29.43,56.59,25.17,61.43,2017
945,Johannesburg, South Africa,48.1,19.89,34.21,42.49,44.33,104.97,2017
946,Osijek, Croatia,47.98,7.17,27.89,41.88,33.68,52.9,2017
947,Brno, Czech Republic,47.67,16.69,32.42,43.94,32.88,65.2,2017
948,Johor Bahru, Malaysia,47.6,10.59,29.38,60.4,23.05,41.41,2017
949,Chiang Mai, Thailand,47.5,11.72,29.88,60.84,22.82,28.14,2017
950,Beijing, China,47.47,34.29,40.98,49.34,35.53,75.5,2017
951,Istanbul, Turkey,47.42,15.39,31.65,42.43,35.12,48.69,2017
952,Kota Kinabalu, Malaysia,47.02,8.6,28.1,57.47,23.36,38.2,2017
953,Pattaya, Thailand,47.02,17.05,32.27,53.16,29.3,22.82,2017
954,Cape Town, South Africa,46.95,27.06,37.15,42.24,42.68,78.12,2017
955,Kuala Lumpur, Malaysia,46.67,17.35,32.23,49.88,28.78,68.39,2017
956,Saint Petersburg, Russia,46.66,19.33,33.2,39.01,46.68,46.63,2017
957,Warsaw, Poland,46.32,20.42,33.56,37.86,39.58,67.94,2017
958,Lima, Peru,46.2,18.5,32.56,43.24,34.7,35.35,2017
959,Guangzhou, China,45.28,18.6,32.14,46.84,28.8,69.15,2017
960,Bali, Indonesia,45.08,8.35,27.0,52.25,25.27,25.3,2017
961,Ulaanbaatar, Mongolia,44.95,17.33,31.35,43.45,29.3,29.97,2017
962,Gdansk, Poland,44.92,15.1,30.24,35.33,35.43,68.69,2017
963,Selangor, Malaysia,44.81,10.11,27.72,51.21,20.33,84.16,2017
964,Hanoi, Vietnam,44.77,15.45,30.33,43.69,24.2,19.51,2017
965,Cuenca, Ecuador,44.51,10.55,27.79,46.4,28.99,33.91,2017
966,Durban, South Africa,44.5,15.34,30.14,39.04,40.28,83.21,2017
967,Wroclaw, Poland,44.39,17.27,31.03,37.03,37.09,58.58,2017
968,Debrecen, Hungary,44.35,9.3,27.09,38.71,31.82,38.08,2017
969,Nairobi, Kenya,44.15,13.66,29.13,42.8,35.64,22.27,2017
970,Krakow (Cracow), Poland,44.1,16.94,30.73,36.13,35.59,67.86,2017
971,Ho Chi Minh City, Vietnam,44.06,17.54,31.0,49.01,21.11,33.18,2017
972,Gdynia, Poland,43.79,12.88,28.57,36.82,34.21,63.58,2017
973,Olomouc, Czech Republic,43.74,12.05,28.14,42.36,29.58,70.25,2017
974,Cebu, Philippines,43.57,12.09,28.07,45.73,24.44,21.97,2017
975,Podgorica, Montenegro,43.48,11.33,27.65,36.48,36.03,43.96,2017
976,Bydgoszcz, Poland,43.3,13.75,28.75,35.28,36.28,56.7,2017
977,Poznan, Poland,43.29,14.03,28.88,37.26,35.33,62.53,2017
978,Ostrava, Czech Republic,43.2,10.07,26.89,39.47,30.57,67.9,2017
979,Ankara, Turkey,43.18,8.05,25.88,39.63,32.59,52.67,2017
980,Tehran, Iran,42.67,20.89,31.95,40.02,32.72,36.85,2017
981,Rabat, Morocco,42.62,11.99,27.54,39.14,26.74,36.19,2017
982,Manila, Philippines,42.59,19.46,31.2,40.91,27.72,39.66,2017
983,Lodz, Poland,42.58,11.96,27.5,34.4,33.61,59.73,2017
984,Surabaya, Indonesia,42.58,8.85,25.97,49.19,19.25,29.89,2017
985,Bucharest, Romania,42.28,12.91,27.82,35.5,38.81,50.74,2017
986,Szczecin, Poland,42.21,11.76,27.21,34.7,32.29,55.8,2017
987,Kigali, Rwanda,42.06,13.31,27.9,33.99,29.58,24.21,2017
988,Yekaterinburg, Russia,41.93,11.76,27.08,37.88,35.4,44.02,2017
989,Sarajevo, Bosnia And Herzegovina,41.89,9.1,25.75,36.48,30.47,42.32,2017
990,Sofia, Bulgaria,41.76,11.55,26.89,37.17,32.5,51.44,2017
991,Izmir, Turkey,41.69,8.53,25.36,38.49,29.08,43.99,2017
992,Belgrade, Serbia,41.52,10.99,26.49,31.44,38.05,34.83,2017
993,Antalya, Turkey,41.27,6.96,24.38,36.99,29.47,50.86,2017
994,Bursa, Turkey,41.2,6.77,24.25,36.96,28.29,55.71,2017
995,Lublin, Poland,41.13,14.2,27.87,33.97,31.92,50.16,2017
996,Monterrey, Mexico,40.8,12.23,26.73,38.81,38.31,76.85,2017
997,Mexico City, Mexico,40.77,17.64,29.38,39.0,36.19,54.57,2017
998,Katowice, Poland,40.31,11.3,26.03,33.87,30.72,74.06,2017
999,Algiers, Algeria,40.25,9.26,24.99,42.91,26.67,28.61,2017
1000,Varna, Bulgaria,40.18,8.13,24.4,36.77,32.69,43.91,2017
1001,Lagos, Nigeria,39.86,18.37,29.28,41.47,20.83,19.04,2017
1002,Cluj-napoca, Romania,39.79,12.51,26.36,34.83,31.6,50.24,2017
1003,Astana, Kazakhstan,39.45,16.19,27.99,33.98,41.37,36.81,2017
1004,Novosibirsk, Russia,39.43,12.32,26.08,36.1,32.49,40.85,2017
1005,Banja Luka, Bosnia And Herzegovina,39.28,6.75,23.26,33.45,27.43,42.4,2017
1006,Casablanca, Morocco,39.22,14.77,27.18,36.32,26.28,46.84,2017
1007,Colombo, Sri Lanka,39.21,11.33,25.48,43.32,23.41,22.62,2017
1008,Timisoara, Romania,38.84,9.89,24.59,33.8,31.98,52.1,2017
1009,Sibiu, Romania,38.79,7.97,23.62,33.21,32.16,39.29,2017
1010,Bandung, Indonesia,38.74,5.67,22.46,47.12,17.24,28.7,2017
1011,Plovdiv, Bulgaria,38.72,6.77,22.99,35.02,29.91,41.87,2017
1012,Tirana, Albania,38.65,9.7,24.39,32.47,30.28,32.0,2017
1013,Medan, Indonesia,38.57,4.63,21.86,43.23,20.68,39.89,2017
1014,Iasi, Romania,38.51,9.31,24.13,32.17,32.57,45.67,2017
1015,Bogota, Colombia,38.18,13.71,26.14,33.56,27.58,33.71,2017
1016,Chengdu, China,38.13,11.22,24.88,36.53,27.48,69.81,2017
1017,Cancun, Mexico,38.03,9.82,24.14,31.65,37.58,56.32,2017
1018,Novi Sad, Serbia,37.94,6.88,22.65,30.73,27.72,35.97,2017
1019,Almaty, Kazakhstan,37.78,12.8,25.48,31.42,37.37,42.26,2017
1020,Queretaro, Mexico,37.59,9.75,23.88,36.97,32.48,53.6,2017
1021,Skopje, Macedonia,37.33,8.26,23.01,30.52,27.99,37.51,2017
1022,Brasov, Romania,36.88,8.56,22.93,31.56,30.7,59.73,2017
1023,Tijuana, Mexico,36.87,9.25,23.27,35.46,33.83,43.13,2017
1024,Caracas, Venezuela,36.75,9.74,23.45,39.15,34.73,2.96,2017
1025,Dhaka, Bangladesh,36.56,6.63,21.82,35.32,25.78,34.68,2017
1026,Merida, Mexico,36.53,8.27,22.61,37.5,28.53,32.08,2017
1027,Guadalajara, Mexico,36.49,8.53,22.72,37.24,32.25,52.24,2017
1028,Asuncion, Paraguay,36.46,10.55,23.71,32.08,26.31,31.67,2017
1029,Kampala, Uganda,36.4,8.11,22.47,32.58,25.13,19.34,2017
1030,Yogyakarta, Indonesia,36.17,5.26,20.95,40.1,15.12,29.97,2017
1031,Puerto Vallarta, Mexico,36.15,10.49,23.51,36.4,32.64,53.34,2017
1032,Minsk, Belarus,36.11,11.84,24.16,30.07,39.17,34.58,2017
1033,Yerevan, Armenia,36.07,9.77,23.12,29.56,32.57,31.13,2017
1034,Gurgaon, India,36.05,10.3,23.37,35.31,31.73,98.51,2017
1035,Puebla, Mexico,35.58,7.75,21.88,31.68,30.56,43.28,2017
1036,Arad, Romania,35.12,8.38,21.96,30.37,25.3,60.36,2017
1037,Quezon City, Philippines,35.03,7.21,21.33,32.87,19.64,25.99,2017
1038,Kathmandu, Nepal,34.89,4.61,19.98,33.47,19.83,23.2,2017
1039,Nis, Serbia,34.55,4.98,19.99,27.09,28.29,34.19,2017
1040,Medellin, Colombia,34.3,9.12,21.9,31.56,25.58,29.91,2017
1041,Islamabad, Pakistan,34.06,9.1,21.77,31.86,23.75,32.41,2017
1042,Craiova, Romania,33.71,6.0,20.07,28.93,24.15,50.73,2017
1043,Odesa, Ukraine,33.6,10.83,22.39,24.64,28.77,26.62,2017
1044,Chisinau, Moldova,33.4,9.18,21.47,27.81,23.21,27.77,2017
1045,Davao, Philippines,33.33,6.7,20.22,33.26,16.53,27.93,2017
1046,Tbilisi, Georgia,33.12,10.47,21.97,28.09,32.16,26.68,2017
1047,Mumbai, India,32.93,22.66,27.88,35.65,23.74,61.47,2017
1048,Baku, Azerbaijan,32.77,10.98,22.04,29.42,32.71,25.32,2017
1049,Delhi, India,32.66,9.87,21.44,32.63,25.61,67.67,2017
1050,Cali, Colombia,32.41,6.99,19.89,28.66,23.43,36.33,2017
1051,Noida, India,32.37,6.98,19.87,33.82,22.36,85.35,2017
1052,Lahore, Pakistan,32.29,6.0,19.35,28.98,28.36,45.85,2017
1053,Ludhiana, India,31.92,4.32,18.33,32.07,23.12,53.04,2017
1054,Valenzuela, Philippines,31.62,3.13,17.59,34.76,14.27,31.17,2017
1055,Kiev, Ukraine,31.28,13.59,22.57,24.51,24.4,28.42,2017
1056,Pune, India,30.52,7.64,19.26,32.76,21.64,88.48,2017
1057,Bangalore, India,30.24,9.41,19.98,32.95,19.57,86.79,2017
1058,Tunis, Tunisia,29.93,6.51,18.4,28.94,20.42,32.94,2017
1059,Thane, India,29.83,8.51,19.34,31.74,20.03,51.96,2017
1060,Navi Mumbai, India,29.41,9.72,19.72,31.29,20.53,73.3,2017
1061,Pristina, Kosovo (Disputed Territory),29.4,8.9,19.3,26.65,22.28,52.71,2017
1062,Karachi, Pakistan,29.11,7.48,18.46,29.16,21.44,35.72,2017
1063,Ahmedabad, India,28.95,6.65,17.97,31.25,21.09,57.06,2017
1064,Chandigarh, India,28.94,6.31,17.79,30.74,19.97,64.7,2017
1065,Chennai, India,28.78,7.09,18.1,31.45,18.75,71.99,2017
1066,Goa, India,28.52,7.57,18.2,30.98,20.94,49.66,2017
1067,Surat, India,28.47,4.5,16.67,30.17,21.43,55.55,2017
1068,Kolkata, India,28.28,6.97,17.79,29.91,22.74,47.99,2017
1069,Dnipropetrovsk, Ukraine,28.09,7.13,17.77,22.74,20.69,31.03,2017
1070,Lucknow (Lakhnau), India,28.07,4.6,16.52,29.0,18.03,53.68,2017
1071,Jaipur, India,27.92,4.62,16.45,29.81,16.61,65.05,2017
1072,Kharkiv, Ukraine,27.85,9.94,19.03,22.03,19.26,22.54,2017
1073,Vadodara, India,27.31,3.85,15.76,31.5,16.06,67.23,2017
1074,Nagpur, India,27.18,4.86,16.19,29.35,19.34,68.56,2017
1075,Indore, India,27.01,4.28,15.82,26.64,16.98,44.2,2017
1076,Lviv, Ukraine,26.97,8.48,17.87,22.66,17.35,22.69,2017
1077,Hyderabad, India,26.87,6.2,16.69,28.95,17.66,65.47,2017
1078,Mysore, India,26.23,4.52,15.54,32.03,13.28,35.53,2017
1079,Cairo, Egypt,26.19,5.14,15.83,23.3,22.47,23.96,2017
1080,Visakhapatnam, India,25.57,5.14,15.51,28.4,16.13,53.78,2017
1081,Kochi, India,25.4,6.18,15.93,28.26,14.41,60.04,2017
1082,Bhubaneswar, India,25.24,4.57,15.06,28.87,14.71,52.38,2017
1083,Coimbatore, India,24.83,5.61,15.37,26.31,15.29,47.01,2017
1084,Alexandria, Egypt,24.54,5.09,14.96,23.5,17.66,21.42,2017
1085,Mangalore, India,23.17,5.68,14.56,23.88,12.61,95.97,2017
1086,Thiruvananthapuram, India,21.75,5.17,13.59,23.72,12.12,62.76,2017
1087,Hamilton,Bermuda,145.43,110.87,128.76,143.47,158.75,112.26,2018
1088,Zurich,Switzerland,141.25,66.14,105.03,149.86,135.76,142.7,2018
1089,Geneva,Switzerland,134.83,71.7,104.38,138.98,129.74,130.96,2018
1090,Basel,Switzerland,130.68,49.68,91.61,127.54,127.22,139.01,2018
1091,Bern,Switzerland,128.03,43.57,87.3,132.7,119.48,112.71,2018
1092,Lausanne,Switzerland,127.5,52.32,91.24,126.59,132.12,127.95,2018
1093,Reykjavik,Iceland,123.78,57.25,91.7,118.15,133.19,88.95,2018
1094,Stavanger,Norway,118.61,39.83,80.61,106.09,143.54,118.14,2018
1095,Lugano,Switzerland,118.24,52.91,86.73,117.74,122.3,119.86,2018
1096,Oslo,Norway,117.23,49.28,84.46,112.42,124.09,102.94,2018
1097,Trondheim,Norway,114.22,42.39,79.58,103.5,134.76,108.29,2018
1098,Bergen,Norway,112.31,40.3,77.58,101.79,119.61,99.29,2018
1099,Kyoto,Japan,100.33,24.58,63.8,118.44,54.59,77.92,2018
1100,"New York, NY",United States,100.0,100.0,100.0,100.0,100.0,100.0,2018
1101,Nassau,Bahamas,99.73,40.45,71.14,85.34,104.17,58.69,2018
1102,"San Francisco, CA",United States,97.84,115.36,106.29,107.52,91.06,92.96,2018
1103,Copenhagen,Denmark,97.62,50.66,74.97,77.53,121.23,113.31,2018
1104,Luxembourg,Luxembourg,95.37,61.59,79.08,82.71,109.61,127.42,2018
1105,"Anchorage, AK",United States,94.99,40.12,68.53,101.18,84.55,124.92,2018
1106,"Honolulu, HI",United States,94.15,62.82,79.04,104.69,82.86,103.08,2018
1107,Tokyo,Japan,93.81,37.07,66.45,99.67,58.93,106.42,2018
1108,"Brooklyn, NY",United States,93.79,76.24,85.33,92.73,100.58,87.04,2018
1109,Paris,France,92.87,50.3,72.34,87.29,91.77,97.62,2018
1110,Limerick,Ireland,92.73,27.71,61.37,87.15,82.93,93.93,2018
1111,"Rockville, MD",United States,92.66,64.0,78.84,87.76,74.74,130.79,2018
1112,"Bloomington, IN",United States,92.14,33.64,63.93,112.83,75.43,96.92,2018
1113,"Washington, DC",United States,91.94,73.3,82.95,92.74,85.0,120.62,2018
1114,Arhus,Denmark,91.9,34.82,64.37,71.5,102.82,109.47,2018
1115,Singapore,Singapore,91.4,71.89,81.99,83.64,64.4,95.89,2018
1116,Aalborg,Denmark,91.17,26.81,60.13,73.79,101.14,106.35,2018
1117,Stockholm,Sweden,90.85,45.27,68.87,84.06,93.71,108.2,2018
1118,Sydney,Australia,90.77,68.43,80.0,85.02,77.09,118.81,2018
1119,Montpellier,France,90.63,24.95,58.95,86.93,75.13,74.25,2018
1120,Tel Aviv-Yafo,Israel,90.36,51.55,71.65,76.9,97.21,101.36,2018
1121,"Santa Rosa, CA",United States,90.23,58.13,74.75,92.05,78.34,106.77,2018
1122,Dublin,Ireland,89.92,62.13,76.52,73.62,95.64,88.11,2018
1123,Jerusalem,Israel,89.62,38.43,64.93,74.2,96.35,84.17,2018
1124,Linz,Austria,89.33,29.43,60.44,84.03,88.05,95.13,2018
1125,"Arlington, VA",United States,89.2,61.85,76.01,88.51,82.63,120.53,2018
1126,Amsterdam,Netherlands,89.14,58.22,74.23,70.13,95.2,101.7,2018
1127,"Bellevue, WA",United States,88.85,66.67,78.15,88.43,80.99,73.46,2018
1128,London,United Kingdom,88.69,76.67,82.89,67.36,96.36,92.61,2018
1129,Antwerp,Belgium,88.2,28.06,59.19,79.12,101.67,90.18,2018
1130,Hamilton,New Zealand,88.09,26.98,58.62,81.69,84.97,128.21,2018
1131,"Seattle, WA",United States,88.04,64.41,76.64,89.85,83.22,144.6,2018
1132,"Berkeley, CA",United States,87.82,78.69,83.42,97.88,78.29,115.84,2018
1133,Helsinki,Finland,87.77,40.52,64.98,73.82,96.5,113.87,2018
1134,Grenoble,France,87.73,25.07,57.51,88.71,79.04,115.7,2018
1135,Seoul,South Korea,87.56,37.17,63.26,107.06,50.88,107.52,2018
1136,Tampere,Finland,87.2,28.89,59.08,73.89,96.76,111.28,2018
1137,"Boston, MA",United States,87.05,78.72,83.03,88.99,86.2,101.35,2018
1138,Auckland,New Zealand,86.93,46.95,67.65,79.21,72.26,99.37,2018
1139,Florence,Italy,86.9,31.81,60.34,76.28,87.67,66.09,2018
1140,Nice,France,86.69,31.64,60.14,78.82,98.75,107.04,2018
1141,Milton Keynes,United Kingdom,86.28,37.34,62.68,85.31,81.71,90.17,2018
1142,Perth,Australia,86.24,40.5,64.18,80.79,90.63,130.38,2018
1143,"Charleston, SC",United States,86.19,45.99,66.8,98.41,71.87,115.41,2018
1144,Adelaide,Australia,86.02,36.56,62.17,82.05,81.67,113.86,2018
1145,"Miami, FL",United States,86.01,63.2,75.01,87.37,95.81,97.81,2018
1146,Bath,United Kingdom,85.79,37.62,62.56,78.47,83.51,117.98,2018
1147,Reading,United Kingdom,85.56,40.91,64.03,71.32,95.36,130.18,2018
1148,Leuven,Belgium,85.31,29.48,58.38,79.81,86.88,92.44,2018
1149,Gent,Belgium,85.16,26.92,57.07,72.2,94.01,96.27,2018
1150,Melbourne,Australia,85.15,44.81,65.7,82.11,77.29,127.15,2018
1151,"Oakland, CA",United States,85.11,79.57,82.44,88.65,81.38,97.94,2018
1152,Milan,Italy,85.1,43.65,65.11,75.56,92.27,71.94,2018
1153,Genoa,Italy,85.04,21.49,54.39,74.03,83.87,71.66,2018
1154,Darwin,Australia,84.98,46.52,66.43,82.29,91.79,118.09,2018
1155,Cairns,Australia,84.98,30.59,58.75,84.5,74.96,118.05,2018
1156,The Hague (Den Haag),Netherlands,84.97,35.55,61.14,70.25,89.11,106.25,2018
1157,Munich,Germany,84.78,46.46,66.3,72.97,82.46,118.19,2018
1158,Lyon,France,84.47,28.04,57.26,77.74,79.13,101.17,2018
1159,Gothenburg,Sweden,84.38,30.46,58.38,77.45,91.06,112.1,2018
1160,"New Haven, CT",United States,84.13,47.53,66.48,92.86,86.18,127.41,2018
1161,"Irvine, CA",United States,83.73,66.26,75.3,89.49,76.5,139.48,2018
1162,Brussels,Belgium,83.65,35.76,60.55,72.55,96.1,104.35,2018
1163,"Philadelphia, PA",United States,83.46,48.09,66.4,82.24,79.37,116.06,2018
1164,Utrecht,Netherlands,83.34,40.23,62.55,68.39,97.89,105.9,2018
1165,Aberdeen,United Kingdom,83.18,32.13,58.56,67.23,99.29,115.94,2018
1166,Cambridge,United Kingdom,82.96,47.33,65.78,67.22,95.67,105.39,2018
1167,Cork,Ireland,82.89,39.97,62.19,67.32,91.87,105.57,2018
1168,Hobart,Australia,82.88,31.46,58.08,81.1,88.26,99.4,2018
1169,"San Jose, CA",United States,82.87,81.81,82.36,85.4,83.12,134.82,2018
1170,Toulouse,France,82.85,24.97,54.94,77.86,82.38,113.77,2018
1171,Ramat Gan,Israel,82.84,36.93,60.7,67.32,89.36,112.25,2018
1172,Rotterdam,Netherlands,82.64,35.28,59.8,63.02,94.81,102.03,2018
1173,"Tacoma, WA",United States,82.54,36.82,60.49,88.02,72.46,125.1,2018
1174,Dusseldorf,Germany,82.48,36.34,60.23,65.69,74.97,114.5,2018
1175,"Los Angeles, CA",United States,82.3,68.75,75.77,82.73,82.48,109.01,2018
1176,"Boulder, CO",United States,82.19,53.8,68.5,86.22,74.92,143.02,2018
1177,St. John's,Canada,82.18,22.48,53.39,86.39,79.73,98.06,2018
1178,Turku,Finland,82.18,25.55,54.87,69.79,88.89,125.14,2018
1179,Brisbane,Australia,82.17,43.31,63.43,75.42,81.39,130.41,2018
1180,Halifax,Canada,82.03,29.33,56.61,88.57,75.91,95.7,2018
1181,Thunder Bay,Canada,81.98,26.2,55.08,77.76,74.63,84.87,2018
1182,Haifa,Israel,81.81,20.68,52.33,66.6,91.38,120.61,2018
1183,Padova,Italy,81.77,23.89,53.85,67.49,78.91,77.42,2018
1184,Frankfurt,Germany,81.65,37.59,60.4,66.85,81.18,142.76,2018
1185,"Portland, ME",United States,81.6,40.73,61.89,86.96,88.58,113.69,2018
1186,"Minneapolis, MN",United States,81.46,45.65,64.19,87.48,75.88,131.08,2018
1187,"Norfolk, VA",United States,81.36,43.59,63.14,90.06,81.31,64.42,2018
1188,Saskatoon,Canada,81.02,29.7,56.27,82.39,72.78,99.63,2018
1189,Canberra,Australia,80.9,45.03,63.6,77.06,79.23,139.38,2018
1190,Wellington,New Zealand,80.87,40.42,61.36,77.17,72.02,118.59,2018
1191,"Hartford, CT",United States,80.86,42.15,62.19,78.41,86.26,101.57,2018
1192,"Queens, NY",United States,80.77,64.73,73.04,74.39,87.27,113.4,2018
1193,Hamburg,Germany,80.75,33.61,58.02,64.85,77.19,116.06,2018
1194,Parma,Italy,80.69,25.04,53.85,71.96,87.4,84.79,2018
1195,Maastricht,Netherlands,80.69,33.35,57.86,70.13,81.68,105.35,2018
1196,Graz,Austria,80.59,24.94,53.75,78.18,65.21,106.41,2018
1197,Christchurch,New Zealand,80.51,30.13,56.21,75.7,78.95,90.4,2018
1198,Galway,Ireland,80.22,34.58,58.21,70.9,81.75,100.11,2018
1199,"Albany, NY",United States,80.19,30.82,56.38,83.35,71.86,139.34,2018
1200,"Chicago, IL",United States,80.16,56.71,68.85,79.14,77.99,119.17,2018
1201,Portsmouth,United Kingdom,80.05,32.23,56.99,62.19,89.21,94.57,2018
1202,"Jersey City, NJ",United States,79.91,66.0,73.2,79.5,85.95,130.99,2018
1203,Malmo,Sweden,79.79,28.57,55.09,73.61,87.62,120.92,2018
1204,Uppsala,Sweden,79.7,28.42,54.97,70.45,87.61,119.75,2018
1205,Lund,Sweden,79.39,27.07,54.16,75.3,80.06,122.8,2018
1206,Oxford,United Kingdom,79.37,53.29,66.79,62.18,81.92,86.68,2018
1207,"Olympia, WA",United States,79.25,36.06,58.42,77.18,78.7,125.04,2018
1208,Edinburgh,United Kingdom,79.2,34.6,57.69,69.3,89.29,104.25,2018
1209,Barrie,Canada,79.18,28.03,54.51,79.85,76.95,127.57,2018
1210,"Santa Barbara, CA",United States,79.17,71.45,75.45,76.47,87.43,134.38,2018
1211,Bologna,Italy,79.04,26.08,53.5,70.14,85.23,76.44,2018
1212,"Eugene, OR",United States,78.94,31.38,56.0,91.86,69.07,109.06,2018
1213,Sliema,Malta,78.94,36.17,58.32,69.3,89.2,74.89,2018
1214,"Burlington, VT",United States,78.89,41.89,61.05,82.04,79.41,101.19,2018
1215,Rome,Italy,78.8,40.24,60.2,68.34,85.32,72.78,2018
1216,"Sacramento, CA",United States,78.75,43.34,61.67,80.02,74.2,135.14,2018
1217,Eindhoven,Netherlands,78.72,35.2,57.73,63.05,88.51,119.87,2018
1218,Hong Kong,Hong Kong,78.72,79.54,79.12,83.47,56.17,82.86,2018
1219,"Pittsburgh, PA",United States,78.66,39.02,59.54,76.56,70.89,133.38,2018
1220,Vienna,Austria,78.64,35.04,57.61,73.8,73.39,98.88,2018
1221,Osaka,Japan,78.5,23.88,52.16,79.2,45.06,109.62,2018
1222,"Portland, OR",United States,78.45,51.72,65.56,79.56,68.4,125.57,2018
1223,"Saint Paul, MN",United States,78.37,40.38,60.05,81.15,74.68,97.64,2018
1224,Lille,France,78.34,24.7,52.47,65.77,74.43,89.56,2018
1225,"Long Beach, CA",United States,78.23,54.98,67.01,82.77,76.98,127.25,2018
1226,York,United Kingdom,77.98,29.69,54.69,68.51,85.11,110.55,2018
1227,Trieste,Italy,77.97,21.54,50.76,72.67,80.97,90.05,2018
1228,Brampton,Canada,77.9,29.01,54.32,83.61,64.25,103.74,2018
1229,Bristol,United Kingdom,77.83,40.01,59.59,63.13,92.62,108.18,2018
1230,Bergamo,Italy,77.71,22.05,50.87,64.43,91.76,89.37,2018
1231,"Fort Lauderdale, FL",United States,77.67,51.63,65.11,79.05,77.85,104.35,2018
1232,"Everett, WA",United States,77.63,42.48,60.68,84.84,70.29,113.75,2018
1233,"Asheville, NC",United States,77.36,37.85,58.31,84.94,72.18,111.73,2018
1234,"Denver, CO",United States,77.31,54.0,66.07,77.48,79.43,130.1,2018
1235,Heidelberg,Germany,77.3,37.21,57.96,61.01,75.28,133.23,2018
1236,Manchester,United Kingdom,77.15,30.87,54.83,63.07,85.92,98.91,2018
1237,"Bellingham, WA",United States,77.13,34.7,56.67,79.09,77.88,131.14,2018
1238,Newcastle,Australia,77.12,43.45,60.88,76.5,84.01,134.62,2018
1239,"Melbourne, FL",United States,77.09,29.38,54.08,85.53,77.04,128.34,2018
1240,"San Diego, CA",United States,77.01,61.91,69.73,75.09,82.09,142.72,2018
1241,Mannheim,Germany,76.97,27.25,52.99,61.07,73.5,156.77,2018
1242,Groningen,Netherlands,76.64,30.91,54.59,66.99,87.82,105.46,2018
1243,"New Orleans, LA",United States,76.64,40.21,59.07,75.15,84.0,116.56,2018
1244,"Orlando, FL",United States,76.63,37.35,57.68,82.77,69.38,129.02,2018
1245,"Baltimore, MD",United States,76.57,45.03,61.36,73.92,80.16,116.79,2018
1246,"Tampa, FL",United States,76.53,42.09,59.92,80.64,80.21,144.43,2018
1247,"West Palm Beach, FL",United States,76.52,43.11,60.41,79.59,78.92,124.36,2018
1248,Calgary,Canada,76.44,31.37,54.7,72.97,75.23,146.39,2018
