,City,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
342,Modena,Italy,71.67,18.72,46.74,63.5,73.13,78.6,2016
343,Moncton,Canada,63.78,18.84,42.62,62.8,62.73,115.26,2016
344,Monterrey,Mexico,35.9,12.61,24.93,33.47,32.04,117.66,2016
345,Montevideo,Uruguay,63.19,18.33,42.07,51.34,57.05,40.27,2016
346,Montpellier,France,76.06,23.77,51.44,72.05,65.07,86.73,2016
347,Montreal,Canada,67.01,24.8,47.13,67.36,64.86,118.69,2016
348,Moscow,Russia,41.12,27.14,34.54,31.01,48.63,60.83,2016
349,Mumbai,India,28.82,20.86,25.07,29.16,21.56,69.56,2016
350,Munich,Germany,74.49,40.83,58.64,59.13,74.58,134.46,2016
351,Muscat,Oman,51.63,31.43,42.12,46.52,57.25,137.14,2016
352,Mysore,India,25.37,4.43,15.51,30.65,11.84,39.28,2016
353,Nagpur,India,23.09,4.22,14.2,24.32,16.84,69.95,2016
354,Nairobi,Kenya,42.39,16.82,30.35,37.45,33.59,29.12,2016
355,Nantes,France,68.39,21.37,46.25,57.62,72.59,131.19,2016
356,Naples,Italy,67.86,22.27,46.39,63.45,62.34,50.74,2016
357,"Nashville, TN",United States,71.35,45.0,58.94,71.16,71.59,148.72,2016
358,Nasik,India,24.2,5.68,15.48,24.58,15.92,66.11,2016
359,Nassau,Bahamas,99.74,38.38,70.84,92.09,96.24,43.77,2016
360,Navi Mumbai,India,25.7,9.39,18.02,25.27,20.83,92.33,2016
361,"New Haven, CT",United States,90.72,49.07,71.11,102.15,97.55,142.42,2016
362,"New Orleans, LA",United States,75.6,39.48,58.6,73.77,76.65,96.19,2016
363,"New York, NY",United States,100.0,100.0,100.0,100.0,100.0,100.0,2016
364,"Newark, NJ",United States,69.12,35.57,53.32,58.79,79.41,144.2,2016
365,Newcastle Upon Tyne,United Kingdom,67.1,26.01,47.76,52.29,76.27,118.25,2016
366,Newcastle,Australia,76.56,42.79,60.66,76.51,79.19,141.59,2016
367,Nice,France,76.92,29.46,54.57,62.82,89.45,108.31,2016
368,Nicosia,Cyprus,63.86,15.61,41.14,54.78,69.9,84.54,2016
369,Nis,Serbia,30.12,5.1,18.34,22.44,24.51,42.68,2016
370,Noida,India,27.14,6.67,17.5,27.25,19.74,100.67,2016
371,"Norfolk, VA",United States,81.77,40.09,62.14,92.2,75.85,87.12,2016
372,Northampton,United Kingdom,67.16,26.85,48.18,59.6,74.13,110.82,2016
373,Norwich,United Kingdom,73.42,26.57,51.36,56.0,81.17,100.54,2016
374,Nottingham,United Kingdom,66.88,24.43,46.89,60.24,64.43,134.58,2016
375,Novi Sad,Serbia,34.67,6.33,21.33,25.67,28.26,49.15,2016
376,Novosibirsk,Russia,30.78,10.11,21.05,27.39,27.76,52.39,2016
377,Nuremberg,Germany,66.71,23.07,46.16,50.43,69.84,151.41,2016
378,"Oakland, CA",United States,88.33,76.78,82.89,93.02,87.52,107.49,2016
379,Odense,Denmark,81.68,20.66,52.95,62.39,101.25,145.62,2016
380,Odesa,Ukraine,28.43,8.39,18.99,19.73,28.55,36.44,2016
